price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_per_sqft,total_rooms
9100000,6000,4,1,2,1,0,1,0,0,2,0,1,1516.6666666666667,5
8750000,4320,3,1,2,1,0,1,1,0,2,0,1,2025.462962962963,4
8645000,8050,3,1,1,1,1,1,0,1,1,0,2,1073.9130434782608,4
8400000,8875,3,1,1,1,0,0,0,0,1,0,1,946.4788732394367,4
8400000,7000,3,1,4,1,0,0,0,1,2,0,1,1200.0,4
7962500,6000,3,1,4,1,1,0,0,1,2,0,0,1327.0833333333333,4
7875000,6550,3,1,2,1,0,1,0,1,0,1,2,1202.2900763358778,4
7490000,6600,3,1,4,1,0,0,0,1,3,1,2,1134.8484848484848,4
7420000,6325,3,1,4,1,0,0,0,1,1,0,0,1173.1225296442688,4
7350000,6000,3,1,2,1,0,0,0,1,1,0,0,1225.0,4
7070000,8880,2,1,1,1,0,0,0,1,1,0,1,796.1711711711712,3
6860000,6000,3,1,1,1,0,0,0,1,1,0,2,1143.3333333333333,4
6720000,5020,3,1,4,1,0,0,0,1,0,1,0,1338.6454183266933,4
6650000,4040,3,1,2,1,0,1,1,0,1,0,2,1646.039603960396,4
6650000,5700,3,1,1,1,1,1,0,1,2,1,2,1166.6666666666667,4
6629000,6000,3,1,2,1,0,0,1,0,1,1,1,1104.8333333333333,4
6510000,3760,3,1,2,1,0,0,1,0,2,0,1,1731.3829787234042,4
6510000,6670,3,1,3,1,0,1,0,0,0,1,0,976.0119940029984,4
6475000,3960,3,1,1,1,0,1,0,0,2,0,1,1635.1010101010102,4
6475000,7410,3,1,1,1,1,1,0,1,2,1,0,873.8191632928475,4
6440000,5000,3,1,2,1,0,0,0,1,0,0,1,1288.0,4
6419000,6750,2,1,1,1,1,1,0,0,2,1,2,950.9629629629629,3
6300000,9000,3,1,1,1,0,1,0,0,1,1,2,700.0,4
6300000,6400,3,1,1,1,1,1,0,1,1,1,1,984.375,4
6265000,6000,4,1,3,1,1,1,0,0,0,1,0,1044.1666666666667,5
6230000,5500,3,1,3,1,0,0,0,0,1,1,0,1132.7272727272727,4
6160000,4500,3,1,4,1,0,0,0,1,0,0,0,1368.888888888889,4
6125000,6420,3,1,3,1,0,1,0,0,0,1,0,954.0498442367601,4
6107500,3240,4,1,3,1,0,0,0,0,1,0,1,1885.030864197531,5
6090000,6600,3,1,1,1,1,1,0,0,2,1,1,922.7272727272727,4
6090000,8372,3,1,3,1,0,0,0,1,2,0,0,727.4247491638796,4
